Genome ID,Genome Name,Organism Name,Species,NCBI Taxon ID,Genome Status,Strain,MLST,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Sequences,Genome Length,GC Content,PATRIC CDS,BRC1 CDS,RefSeq CDS,Fermentation,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Date Inserted,Date Modified
1680.40,Bifidobacterium adolescentis strain AD2-8,,adolescentis,1680,WGS,AD2-8,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231312,,,LNKF00000000,,University of Parma,,Illumina MiSeq,44x,Mira v. 4.0.2,,,26,,2379716,59.94,2136,,2029,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:24:43.022Z,2017-05-29T03:24:43.022Z
1680.37,Bifidobacterium adolescentis strain AL12-4,,adolescentis,1680,WGS,AL12-4,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231313,,,LNKG00000000,,University of Parma,,Illumina MiSeq,125x,Mira v. 4.0.2,,,8,,2094907,59.38,1777,,1666,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:22:49.161Z,2017-05-29T03:22:49.161Z
1680.42,Bifidobacterium adolescentis strain AL46-2,,adolescentis,1680,WGS,AL46-2,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231314,,,LNKH00000000,,University of Parma,,Illumina MiSeq,115x,Mira v. 4.0.2,,,17,,2208560,59.54,1865,,1769,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:24:59.298Z,2017-05-29T03:24:59.298Z
1680.43,Bifidobacterium adolescentis strain AL46-7,,adolescentis,1680,WGS,AL46-7,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231315,,,LNKI00000000,,University of Parma,,Illumina MiSeq,119x,Mira v. 4.0.2,,,12,,2203026,59.06,1933,,1817,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:27:15.769Z,2017-05-29T03:27:15.769Z
1680.5,Bifidobacterium adolescentis strain BBMN23,,adolescentis,1680,Complete,BB23,,,,2015-01-14T00:00:00Z,,PRJNA271241,SAMN03273368,GCF_000817995.1,,CP010437,NZ_CP010437.1,China Agricultural University,,PacBio RS,100x,HS HGAP Assembly v. 2,1,,1,,2173720,59.29,1836,,1823,,gut_human,human feces,,30-Oct-2006,China,"China: village Bama, guangxi","Human, Homo sapiens",,,,,,,,,,,,,,,,,,,The goal of this project is to obtain the complete genome sequence of Bifidobacterium adolescentis BBMN23.,isolate:human feces;sample_type:cell culture,2016-01-17T15:42:02.185Z,2016-01-17T15:42:02.185Z
1680.6,Bifidobacterium adolescentis strain IVS-1,,adolescentis,1680,WGS,IVS-1,,,,2015-01-29T00:00:00Z,25616794,PRJNA261982,SAMN03076346,GCF_000829865.1,,JRNZ01000000,,University of Nebraska-Lincoln,,454,15.0x,Newbler v. 2.7,,,145,,2263462,59.57,2168,,1650,,gut_human,feces of a healthy adult,isolated from fecal samples after being enriched with the respective prebiotic,25-Apr-2010,United States,"USA: Lincoln, NE","Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"One strategy for enhancing establishment of probiotic bacteria in the human intestinal tract is the parallel administration of a prebiotic, which is referred to as a synbiotic. With this project we present a novel method for the selection of probiotic strains to be used in synbiotic applications, In Vivo Selection (IVS). Candidate strains are isolated from fecal samples after being enriched with the respective prebiotic. To test the potential of IVS, we isolated bifidobacteria by selective culture from human subjects after galactooligosaccharides (GOS) consumption . A retrospective analysis of the fecal microbiota of one of the subjects revealed that one strain, Bifidobacterium adolescentis IVS-1, was enriched 8-fold. The functionality of IVS-1 and GOS as a synergistic synbiotic was then tested in rats that received either the bacterial strain alone, the prebiotic alone, the synbiotic combination, or no supplement.",collected_by:Lauren Gemar,2016-01-17T15:43:10.504Z,2016-01-17T15:43:10.504Z
1680.18,Bifidobacterium adolescentis strain Km 4,,adolescentis,1680,WGS,Km 4,,,,2016-10-11T00:00:00Z,,PRJNA327473,SAMN05300513,GCF_001756865.1,,MAXD00000000,,Vavilov Institute of General Genetics,,454,31.0x,GS De Novo Assembler v. 3.0,,,45,,2424972,59.76,2169,,1998,,gut_human,feces,"isolated in 2010 from a feces of a healthy adult (astronaut) in the Vavilov Institute of General Genetics (Moscow, Russia)",2010,Russia,Russia: Central region,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Bifidobacterium adolescentis strain Km 4 is a probiotic strain, was originally isolated in 2010 from a feces of a healthy adult (astronaut) in the Vavilov Institute of General Genetics (Moscow, Russia). Strain produce gamma-aminobutyric acid (GABA), the major inhibitory neurotransmitter in the human brain, and can be a promising candidate for practical (pharmaceutical) applications.This strain has been deposited in the Russian National Collection of Industrial Microorganisms (VKPM, Moscow, Russia, http:// eng.genetika.ru/service-offer/vkpm/; VKPM is a member of the World Federation for Culture Collections (WFCC) and the European Culture Collections Organization (ECCO)). The catalog number in VKPM: AC-2016.",,2016-11-17T01:35:02.864Z,2016-11-17T01:35:02.864Z
1680.44,Bifidobacterium adolescentis strain LMG 10733,,adolescentis,1680,WGS,LMG 10733,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231316,,,LNKJ00000000,,University of Parma,,Ion Torrent PGM,139x,Mira v. 4.0.2,,,8,,2084232,59.19,1783,,1654,,gut_human,Intestine of adult,,1990,,,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:10:58.970Z,2017-05-29T03:10:58.970Z
1680.38,Bifidobacterium adolescentis strain LMG 10734,,adolescentis,1680,WGS,LMG 10734,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231317,,,LNKK00000000,,University of Parma,,Ion Torrent PGM,143x,Mira v. 4.0.2,,,20,,2148629,59.19,1797,,1653,,gut_human,Intestine of adult,,1990,,,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:20:05.518Z,2017-05-29T03:20:05.518Z
1680.45,Bifidobacterium adolescentis strain LMG 11579,,adolescentis,1680,WGS,LMG 11579,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231318,,,LNKL00000000,,University of Parma,,Ion Torrent PGM,290x,Mira v. 4.0.2,,,7,,2061686,59.38,1748,,1614,,gut_mammal,rumen,,1991,,,Bos taurus,,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:14:13.174Z,2017-05-29T03:14:13.174Z
1680.46,Bifidobacterium adolescentis strain LMG 18897,,adolescentis,1680,WGS,LMG 18897,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231319,,,LNKM00000000,,University of Parma,,Ion Torrent PGM,289x,Mira v. 4.0.2,,,33,,2146787,59.78,1847,,1751,,gut_human,feces,,1999,,,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:24:11.307Z,2017-05-29T03:24:11.307Z
1680.108,Bifidobacterium adolescentis strain NCTC11814,,adolescentis,1680,WGS,NCTC11814,,,,2018-06-12T00:00:00Z,,PRJEB6403,SAMEA4362428,GCA_900445615.1,,UAQG01000000,,SC,,,,,,,57,,2204993,59.170074,1955,,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,2018-07-16T17:52:14.206Z,2018-07-16T17:52:14.206Z
1680.53,Bifidobacterium adolescentis strain UBA2084,,adolescentis,1680,WGS,UBA2084,,,,2017-09-21T00:00:00Z,28894102,PRJNA348753,SAMN06457481,,,DCZM00000000,,University of Queensland,,Illumina,53.28x,CLC de novo assembler v. 4.4.1,,,180,,1541883,58.55,1612,,,,other,water,,,Germany,Germany: South-West Germany,,,,,,,,,,,,,,,,,,,,"Challenges in cultivating microorganisms have limited the phylogenetic diversity of currently available microbial genomes. This is being addressed by advances in sequencing throughput and computational techniques that allow for the cultivation-independent recovery of high-quality bacterial and archaeal genomes directly from metagenomic data. In this study, we recovered 7,903 uncultivated genomes from >1,000 metagenomes available from the Sequence Read Archive. These genomes increase the phylogenetic diversity of current archaeal and bacterial genome trees by >30%.",sample_type:metagenomic assembly,2017-09-29T03:47:49.620Z,2017-09-29T03:47:49.620Z
28025.10,Bifidobacterium animalis strain A6,,animalis,28025,Complete,A6,,,,2015-01-09T00:00:00Z,,PRJNA271239,SAMN03273367,GCF_000817045.1,,CP010433,NZ_CP010433.1,China Agricultural University,,PacBio RS,200x,HGAP v. 2,1,,1,,1958651,60.49,1653,,1622,,gut_human,human feces,,30-Oct-2006,China,"China: village Bama, guangxi","Human, Homo sapiens",,,,,,,,,,,,,,,,,,,The goal of this project is to obtain the complete genome sequence of the Bifidobacterium animalis A6,isolate:human feces;sample_type:cell culture,2016-01-17T15:42:01.050Z,2016-01-17T15:42:01.050Z
28025.12,Bifidobacterium animalis strain Bifido_08,,animalis,28025,WGS,Bifido_08,,,,2017-02-08T00:00:00Z,,PRJEB18553,SAMEA51820918,GCF_900157045.1,,FTRP00000000,,University of Tromso,,,,,,,75,,1954362,60.36,1703,,,,blood_human,patients (n=15) from 9 Norwegian hospital laboratories,recovered from patients (n=15) from 9 Norwegian hospital laboratories,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Over a 2-year period, 15 blood culture isolates of Bifidobacterium spp. were recovered from patients (n=15) from 9 Norwegian hospital laboratories. The clinical outcomes of the patients and their antimicrobial treatments were registered.",,2017-03-20T09:20:40.334Z,2017-03-20T09:20:40.334Z
28025.13,Bifidobacterium animalis strain Bifido_11,,animalis,28025,WGS,Bifido_11,,,,2017-02-08T00:00:00Z,,PRJEB18553,SAMEA51823168,GCF_900157135.1,,FTRE00000000,,University of Tromso,,,,,,,46,,1938432,60.39,1674,,,,blood_human,patients (n=15) from 9 Norwegian hospital laboratories,recovered from patients (n=15) from 9 Norwegian hospital laboratories,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Over a 2-year period, 15 blood culture isolates of Bifidobacterium spp. were recovered from patients (n=15) from 9 Norwegian hospital laboratories. The clinical outcomes of the patients and their antimicrobial treatments were registered.",,2017-03-20T09:21:15.312Z,2017-03-20T09:21:15.312Z
28025.19,Bifidobacterium animalis strain BL3,,animalis,28025,Complete,BL3,,,,2017-07-18T00:00:00Z,28702200,PRJNA340074,SAMN05631165,GCA_002220485.1,,CP017098,,Korea Food Research Institute,,PacBio,322x,HGAP v. 3.0,1,,1,,1944323,60.48,1651,,1546,,gut_lab,Commercial dietary supplements,,2015-10-21,South Korea,South Korea: Seoul,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,BL3 strain was isolated from Commercial dietary supplements,sample_type:cell culture,2017-09-29T15:33:20.865Z,2017-09-29T15:33:20.865Z
28025.23,Bifidobacterium animalis strain DS1_2,,animalis,28025,WGS,DS1_2,,,,2018-05-06T00:00:00Z,,PRJNA336518,SAMN06464091,GCA_003095115.1,,QDIU01000000,,USFDA,,Illumina MiSeq,28.6x,SPAdes v. 3.8.2,,,15,,1920582,60.46266,1670,,1591,,gut_lab,Commercial dietary supplements,,23-Jan-2016,USA,USA:MD,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Creation of a genome sequence database of live microorganisms found in dietary supplements and cultured foods to be used for strain verification and characterization.,sample_type:Single cell,2018-05-30T16:20:50.919Z,2018-05-30T16:20:50.919Z
28025.26,Bifidobacterium animalis strain DS11_2,,animalis,28025,WGS,DS11_2,,,,2018-05-06T00:00:00Z,,PRJNA336518,SAMN06464092,GCA_003094895.1,,QDIT01000000,,USFDA,,Illumina MiSeq,39.6x,SPAdes v. 3.8.2,,,15,,1920501,60.46313,1672,,1592,,gut_lab,Commercial dietary supplements,,23-Jan-2016,USA,USA:MD,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Creation of a genome sequence database of live microorganisms found in dietary supplements and cultured foods to be used for strain verification and characterization.,sample_type:Single cell,2018-05-30T16:23:27.274Z,2018-05-30T16:23:27.274Z
28025.27,Bifidobacterium animalis strain DS15_2,,animalis,28025,WGS,DS15_2,,,,2018-05-06T00:00:00Z,,PRJNA336518,SAMN06464093,GCA_003094875.1,,QDIR01000000,,USFDA,,Illumina MiSeq,77.6x,SPAdes v. 3.8.2,,,17,,1919293,60.465702,1672,,1587,,gut_lab,Commercial dietary supplements,,14-Sep-2016,USA,USA:MD,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Creation of a genome sequence database of live microorganisms found in dietary supplements and cultured foods to be used for strain verification and characterization.,sample_type:Single cell,2018-05-30T16:23:30.226Z,2018-05-30T16:23:30.226Z
28025.24,Bifidobacterium animalis strain DS2_2,,animalis,28025,WGS,DS2_2,,,,2018-05-06T00:00:00Z,,PRJNA336518,SAMN06464094,GCA_003095075.1,,QDIP01000000,,USFDA,,Illumina MiSeq,209.9x,SPAdes v. 3.8.2,,,16,,1916859,60.463917,1666,,1583,,gut_lab,Commercial dietary supplements,,20-Apr-2016,USA,USA:MD,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Creation of a genome sequence database of live microorganisms found in dietary supplements and cultured foods to be used for strain verification and characterization.,sample_type:Single cell,2018-05-30T16:21:39.008Z,2018-05-30T16:21:39.008Z
28025.25,Bifidobacterium animalis strain DS20_2,,animalis,28025,WGS,DS20_2,,,,2018-05-06T00:00:00Z,,PRJNA336518,SAMN06464095,GCA_003095055.1,,QDIZ01000000,,USFDA,,Illumina MiSeq,43.6x,CLC NGS Cell v. 11,,,61,,1928900,60.40958,1687,,1610,,gut_lab,Commercial dietary supplements,,15-Jul-2016,USA,USA:MD,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Creation of a genome sequence database of live microorganisms found in dietary supplements and cultured foods to be used for strain verification and characterization.,sample_type:Single cell,2018-05-30T16:22:09.968Z,2018-05-30T16:22:09.968Z
28025.4,Bifidobacterium animalis strain RH,,animalis,28025,Complete,RH,,,,2014-05-27T00:00:00Z,-,PRJNA245929,SAMN02797738,GCA_000695895.1,,CP007755.1,NZ_CP007755.1,China Agricultural University,,Illumina,311x,SOAPdenovo v. 2.04,1,,1,,1931060,60.5,1617,,1539,,gut_lab,feces,,,,,,,,,,,,,,,,,,,,,,,,"Complete genome sequence of Bifidobacterium animalis RH, a probiotic bacterium producing exopolysaccharides",,2014-12-08T23:15:16.094Z,2015-03-16T03:17:09.594Z
28025.18,Bifidobacterium animalis strain YL2,,animalis,28025,WGS,YL2,,,,2017-07-19T00:00:00Z,,PRJNA289613,SAMN03854118,GCA_002221565.1,,NHMR00000000,,Max von Pettenkofer-Institut,,Illumina MiSeq,499.9x,SPAdes v. APR-2016,,,3,,2016357,60.21,1748,,1647,,gut_rodent,organic material,,,Switzerland,Switzerland: Zurich,Mus musculus,,,,,,,,,,,,,,,,,,,"Gnotobiotic mice colonized with known bacterial communities are extensively used as models to study the role of the gut microbiota and its association with diseases. We developed a defined consortium of 12 cultivable murine isolates, named the Oligo-Mouse Microbiota (Oligo-MM), which represent the main bacterial phyla colonizing the mouse and human intestine. Such a defined bacterial collection represents an ideal model for analyzing genome evolution of bacteria in their natural host, and for predicting their functionome and metabolic capacity, both as whole community and as single species.",,2017-09-29T15:30:27.523Z,2017-09-29T15:30:27.523Z
